episode,state
0,"[74.7963098, 73.8538208]"
1,"[337.2077, 165.391289]"
2,"[169.934182, 78.620185]"
3,"[41.9650732, 39.5328256]"
4,"[41.9633961, 50.1425201]"
5,"[129.750946, 130.391213]"
6,"[95.1070888, 102.466787]"
7,"[112.77545, 53.5764473]"
8,"[139.281925, 119.32873]"
9,"[106.191425, 104.179832]"
10,"[168.353557, 137.199392]"
11,"[105.276198, 137.374637]"
12,"[101.876175, 59.1768115]"
13,"[49.1405765, 48.458856]"
14,"[165.262591, 170.005604]"
15,"[75.2343709, 78.4048163]"
16,"[53.4806566, 53.445399]"
17,"[219.404505, 176.238084]"
18,"[152.639987, 84.0945115]"
19,"[242.807106, 121.253917]"
20,"[271.508198, 341.022152]"
21,"[75.1251935, 74.1758827]"
22,"[106.204363, 81.6015219]"
23,"[57.3374564, 53.1442184]"
24,"[89.0741124, 45.7022072]"
25,"[68.8178868, 97.8826153]"
26,"[74.2388411, 90.4909928]"
27,"[101.284721, 55.3259026]"
28,"[162.598033, 76.8629442]"
29,"[53.3672011, 105.476652]"
30,"[88.4470917, 76.8844529]"
31,"[161.98673, 74.8844178]"
32,"[56.9158466, 47.5017466]"
33,"[57.5970908, 42.0899425]"
34,"[88.1224563, 43.0862758]"
35,"[61.9803407, 103.141208]"
36,"[59.450991, 56.3791601]"
37,"[168.712309, 155.672934]"
38,"[195.264885, 179.216028]"
39,"[81.1191568, 79.7866087]"
40,"[106.667826, 133.569131]"
41,"[111.876468, 65.8103909]"
42,"[120.516664, 61.3600557]"
43,"[73.9366492, 101.244424]"
44,"[119.777995, 57.8135659]"
45,"[176.649622, 175.017559]"
46,"[260.168704, 173.550701]"
47,"[155.849627, 82.5555989]"
48,"[47.1978437, 74.2208013]"
49,"[65.5976485, 65.724818]"
50,"[259.213268, 199.010357]"
51,"[197.973005, 447.22923]"
52,"[205.628295, 447.22923]"
53,"[205.605301, 447.077122]"
54,"[205.597791, 438.142339]"
55,"[156.014945, 77.4557893]"
56,"[50.2148823, 39.8066227]"
57,"[42.9807351, 46.2207077]"
58,"[47.2707588, 77.755495]"
59,"[42.6956787, 46.8923282]"
60,"[139.466596, 140.148862]"
61,"[166.47704, 109.037422]"
62,"[56.843551, 53.6652931]"
63,"[82.9210972, 106.134611]"
64,"[132.828015, 125.378596]"
65,"[145.087702, 136.38237]"
66,"[108.801128, 105.330564]"
67,"[69.9574742, 70.0051746]"
68,"[57.2231899, 80.757571]"
69,"[240.92886, 197.383526]"
70,"[93.9222982, 96.8468642]"
71,"[44.1787935, 45.4281152]"
72,"[212.660439, 139.651434]"
73,"[91.0028266, 82.2111137]"
74,"[64.0483053, 89.8378771]"
75,"[45.4702577, 51.8784079]"
76,"[44.9174479, 55.7351668]"
77,"[73.2125401, 78.1158011]"
78,"[97.577281, 130.323248]"
79,"[62.3511611, 59.2492758]"
80,"[83.8557781, 105.282012]"
81,"[53.2301107, 56.3439512]"
82,"[123.781344, 123.617778]"
83,"[81.9092382, 86.4008819]"
84,"[55.8359513, 51.4752484]"
85,"[76.0286677, 85.2484655]"
86,"[151.556267, 131.265588]"
87,"[99.2020707, 98.3730192]"
88,"[86.8023479, 83.8969561]"
89,"[92.5110178, 178.336904]"
90,"[49.679091, 49.1710682]"
91,"[90.1400879, 106.484175]"
92,"[53.0605248, 48.5523679]"
93,"[171.765397, 88.0897711]"
94,"[53.8005246, 50.0201554]"
95,"[68.5142739, 67.5732237]"
96,"[54.500414, 52.1961745]"
97,"[52.2200253, 47.4741628]"
98,"[115.208143, 120.647039]"
99,"[57.0979652, 60.8022264]"
100,"[57.1219347, 95.1326868]"
101,"[58.5767512, 65.0762381]"
102,"[68.7324961, 43.4878873]"
103,"[133.783885, 127.239964]"
104,"[85.3326469, 85.889232]"
105,"[128.428023, 106.780032]"
106,"[55.0046052, 55.9789259]"
107,"[50.1158506, 49.654601]"
108,"[99.7556272, 89.2224481]"
109,"[56.6431722, 50.3487277]"
110,"[64.2340102, 103.462801]"
111,"[53.9534474, 51.4261797]"
112,"[58.3853219, 49.7854677]"
113,"[50.1330958, 56.0112688]"
114,"[83.3439976, 42.7170411]"
115,"[59.2218784, 83.5645532]"
116,"[147.030527, 155.70109]"
117,"[91.3693342, 80.7937958]"
118,"[48.4337249, 45.4683484]"
119,"[56.1371813, 42.8365016]"
120,"[48.3141143, 52.6839248]"
121,"[53.8608947, 53.3269362]"
122,"[74.7794305, 64.7585257]"
123,"[68.4169681, 68.0027948]"
124,"[53.0445489, 52.374091]"
125,"[60.486534, 59.6611933]"
126,"[96.2750463, 100.994545]"
127,"[67.8504761, 68.5886066]"
128,"[60.1815195, 48.241663]"
129,"[64.8094269, 60.5535444]"
130,"[48.6334024, 50.6463895]"
131,"[91.2575384, 77.9135128]"
132,"[89.8910866, 88.8701498]"
133,"[48.3608508, 47.2110348]"
134,"[50.661214, 49.2152385]"
135,"[62.7877881, 48.4839518]"
136,"[44.2942232, 43.4216486]"
137,"[78.246576, 74.5596637]"
138,"[80.3691536, 81.1964717]"
139,"[68.5618542, 63.4791922]"
140,"[52.1409539, 53.8331561]"
141,"[72.1728892, 71.7775622]"
142,"[57.3264501, 56.5405608]"
143,"[43.7281812, 45.7949172]"
144,"[47.8733022, 40.4882206]"
145,"[49.2650856, 48.5297843]"
146,"[65.708177, 55.3813857]"
147,"[57.2564628, 96.0397489]"
148,"[67.6589471, 64.0103358]"
149,"[85.3264941, 108.362337]"
150,"[55.7385429, 58.6366541]"
151,"[42.9853032, 46.2080643]"
152,"[48.2932656, 52.3336496]"
153,"[62.871605, 60.3248989]"
154,"[128.048897, 123.371262]"
155,"[52.7643339, 49.5519056]"
156,"[50.0730436, 44.4404999]"
157,"[45.6541265, 40.6869789]"
158,"[49.2408236, 48.900296]"
159,"[83.7789915, 71.5442594]"
160,"[53.4182248, 54.1783456]"
161,"[43.1494981, 41.1708336]"
162,"[46.8836363, 41.5403315]"
163,"[56.3898915, 43.7639738]"
164,"[45.856254, 44.6391636]"
165,"[51.1944826, 51.7883986]"
166,"[140.200263, 141.022407]"
167,"[89.7838362, 80.6892061]"
168,"[138.193393, 146.021631]"
169,"[79.308353, 87.9613876]"
170,"[53.6219245, 52.2946544]"
171,"[54.3920236, 53.1742686]"
172,"[60.218139, 63.9113117]"
173,"[67.1264527, 62.863969]"
174,"[58.792653, 63.614587]"
175,"[42.5146215, 40.8816094]"
176,"[125.09659, 104.348175]"
177,"[48.6105562, 49.8158305]"
178,"[42.7859996, 44.1925747]"
179,"[46.0946121, 43.0694437]"
180,"[123.411458, 83.4880792]"
181,"[55.7311607, 49.6047117]"
182,"[45.5500686, 46.0726569]"
183,"[51.9044838, 56.0751446]"
184,"[69.248138, 77.1978782]"
185,"[85.8438324, 84.894135]"
186,"[104.095205, 104.112829]"
187,"[49.9648689, 49.9874313]"
188,"[115.153146, 106.829874]"
189,"[52.6943333, 52.9794732]"
190,"[52.6779418, 51.6635352]"
191,"[50.8623701, 52.1688984]"
192,"[45.0826665, 42.0530608]"
193,"[47.7730573, 45.1965349]"
194,"[45.1454016, 40.8929473]"
195,"[41.599574, 42.1256334]"
196,"[44.3108939, 40.2943405]"
197,"[82.8014443, 55.7651147]"
198,"[55.7567383, 54.6176714]"
199,"[52.3558533, 40.8609527]"
200,"[50.2254826, 78.4338532]"
201,"[52.2768737, 50.1594116]"
202,"[64.9347952, 64.3167601]"
203,"[54.1822323, 54.089678]"
204,"[67.3116847, 67.0258615]"
205,"[47.8881434, 48.9309506]"
206,"[42.7996025, 41.8499261]"
207,"[58.4468669, 75.6445929]"
208,"[64.7494683, 68.6333253]"
209,"[124.085024, 131.218061]"
210,"[47.6120971, 47.2955363]"
211,"[58.065889, 43.3178534]"
212,"[40.8873892, 41.1575781]"
213,"[62.7113614, 61.4726701]"
214,"[61.7615215, 56.864849]"
215,"[44.6108093, 47.5902062]"
216,"[71.4230044, 66.2018898]"
217,"[50.1462654, 48.5737182]"
218,"[116.68629, 118.142969]"
219,"[48.3176423, 47.6288625]"
220,"[45.0918596, 44.3717021]"
221,"[53.0691352, 48.1236496]"
222,"[47.8433825, 41.3259134]"
223,"[41.5389146, 40.8438592]"
224,"[77.6471683, 75.9668595]"
225,"[50.6580547, 49.4720557]"
226,"[176.804242, 97.75776]"
227,"[51.9906995, 49.9019307]"
228,"[49.6218538, 50.8452474]"
229,"[53.8563341, 50.6641316]"
230,"[83.1519372, 78.4850366]"
231,"[52.7692403, 81.7559043]"
232,"[76.3578566, 74.2905196]"
233,"[57.6033172, 54.5112596]"
234,"[55.8521164, 45.1447752]"
235,"[40.5666487, 42.6220553]"
236,"[41.7005466, 55.6600456]"
237,"[56.2356626, 60.2515887]"
238,"[86.4667192, 79.9204547]"
239,"[76.8198404, 50.9173692]"
240,"[40.9295891, 42.2975829]"
241,"[43.6469093, 43.387951]"
242,"[44.933099, 43.3501203]"
243,"[59.4150473, 62.3098297]"
244,"[70.4616473, 65.87045]"
245,"[60.9422079, 66.2930667]"
246,"[64.1816731, 68.3740861]"
247,"[65.4458917, 64.8144015]"
248,"[60.3956361, 54.1098053]"
249,"[40.8084464, 40.8086964]"
250,"[46.1448934, 50.3017501]"
251,"[44.2440431, 44.3583379]"
252,"[44.700574, 46.5417499]"
253,"[53.7324152, 50.6928421]"
254,"[72.6364103, 65.7448313]"
255,"[78.2957815, 56.6414744]"
256,"[40.3433098, 39.2771744]"
257,"[70.470069, 61.3052243]"
258,"[82.365245, 83.6657015]"
259,"[60.0917398, 56.807688]"
260,"[40.8786063, 44.3356661]"
261,"[136.814624, 132.264932]"
262,"[81.3416596, 79.9078621]"
263,"[41.9549927, 44.5305953]"
264,"[42.307619, 40.6055954]"
265,"[43.6912785, 61.1651297]"
266,"[50.4919913, 49.2748085]"
267,"[53.187843, 54.5366906]"
268,"[48.5016239, 47.9594423]"
269,"[45.0381229, 44.0906035]"
270,"[43.4335008, 44.549248]"
271,"[43.2928889, 44.1896608]"
272,"[43.7443869, 45.0107509]"
273,"[68.1877186, 73.540658]"
274,"[50.2251539, 50.9072255]"
275,"[84.3092033, 86.0991784]"
276,"[50.5968816, 48.7195797]"
277,"[43.5934824, 44.7856446]"
278,"[44.0489019, 40.9472595]"
279,"[42.3419764, 43.6989325]"
280,"[44.0800435, 40.3054893]"
281,"[50.2899081, 54.4833892]"
282,"[53.3378975, 64.5251673]"
283,"[41.3663065, 40.8022797]"
284,"[70.1115826, 46.835677]"
285,"[40.1455747, 40.3374428]"
286,"[54.8657558, 50.8792701]"
287,"[149.793681, 148.455853]"
288,"[78.8965182, 78.4141613]"
289,"[42.8558419, 43.9807504]"
290,"[53.9346749, 55.2745772]"
291,"[61.4639024, 62.9834668]"
292,"[45.1131718, 45.1439452]"
293,"[44.6629104, 68.4146155]"
294,"[77.389512, 72.5667989]"
295,"[57.3620417, 56.9512956]"
296,"[53.3581797, 51.6036671]"
297,"[43.6613204, 43.5924735]"
298,"[43.0736906, 41.6456656]"
299,"[67.9704885, 88.5284347]"
300,"[50.3819595, 50.5067324]"
301,"[52.3343623, 46.3820325]"
302,"[40.1707425, 44.8823482]"
303,"[43.4440448, 42.1886919]"
304,"[44.3373954, 44.773632]"
305,"[43.4563266, 43.4015874]"
306,"[48.1492335, 44.3263655]"
307,"[42.4242304, 43.0956062]"
308,"[121.798475, 90.9102431]"
309,"[49.6664863, 46.791991]"
310,"[47.7704373, 44.7049959]"
311,"[56.9280661, 54.7726068]"
312,"[50.6896694, 53.6290926]"
313,"[49.2834159, 40.1376656]"
314,"[60.6769125, 61.5170002]"
315,"[58.2844236, 58.7194797]"
316,"[57.3443863, 62.7786442]"
317,"[43.164916, 42.6891766]"
318,"[50.3127601, 45.8121911]"
319,"[46.2716825, 45.7741343]"
320,"[44.1925399, 43.050658]"
321,"[49.3880384, 46.4828691]"
322,"[55.0337247, 53.5870698]"
323,"[50.3812475, 48.8414998]"
324,"[47.6524146, 47.9316913]"
325,"[42.3073972, 43.3034224]"
326,"[41.4951674, 42.5261233]"
327,"[44.5708605, 43.9193942]"
328,"[67.4100446, 67.091786]"
329,"[50.1875607, 50.1690589]"
330,"[44.1026615, 43.5469633]"
331,"[90.5810464, 89.1238047]"
332,"[55.9300002, 53.918183]"
333,"[51.2028258, 39.7516737]"
334,"[56.5319301, 49.6148467]"
335,"[61.0995624, 54.3803798]"
336,"[52.4722532, 53.9835225]"
337,"[49.2839561, 48.682233]"
338,"[123.073804, 122.163255]"
339,"[74.4392561, 78.0554783]"
340,"[42.5374882, 41.6430231]"
341,"[89.464951, 70.2060779]"
342,"[49.1771694, 54.3697118]"
343,"[58.6708923, 66.17728]"
344,"[67.4120171, 62.405271]"
345,"[51.0834283, 48.2889105]"
346,"[57.9897511, 52.0722686]"
347,"[62.2802712, 101.361689]"
348,"[65.2486783, 40.589611]"
349,"[52.6391043, 56.5211678]"
350,"[61.1025613, 64.2736728]"
351,"[59.7005809, 58.6422027]"
352,"[54.0988242, 51.002013]"
353,"[92.315664, 92.4123193]"
354,"[50.4950766, 47.2448785]"
355,"[40.8574289, 39.6768654]"
356,"[50.0151491, 47.6350841]"
357,"[40.7961859, 40.6020482]"
358,"[78.4784694, 76.5081523]"
359,"[51.1132628, 51.6798422]"
360,"[82.5512759, 79.4230425]"
361,"[54.8649396, 52.6683076]"
362,"[40.4577242, 41.215767]"
363,"[44.0570654, 41.1308681]"
364,"[46.8218012, 40.3984633]"
365,"[60.9708052, 59.0579416]"
366,"[54.8541956, 56.2454134]"
367,"[40.7627233, 40.7450189]"
368,"[45.9143704, 53.9191846]"
369,"[45.5735303, 43.9323868]"
370,"[42.0836884, 40.6064178]"
371,"[47.4530091, 42.0095807]"
372,"[65.3111459, 44.4553915]"
373,"[81.4765021, 76.5532266]"
374,"[49.3903757, 48.094875]"
375,"[42.1281954, 41.4703793]"
376,"[50.7245857, 47.8028436]"
377,"[55.5572784, 44.397271]"
378,"[39.9167009, 54.0642754]"
379,"[44.6333007, 45.3979335]"
380,"[44.0629804, 43.9357553]"
381,"[48.9072804, 50.8564427]"
382,"[53.2601237, 53.2782071]"
383,"[47.6108088, 42.2443295]"
384,"[69.5131422, 73.974864]"
385,"[49.0869825, 47.346163]"
386,"[44.176523, 42.6019007]"
387,"[47.726075, 42.272424]"
388,"[41.2245641, 41.86241]"
389,"[45.1000292, 45.0623369]"
390,"[42.496481, 42.6076204]"
391,"[44.7132257, 42.9304734]"
392,"[43.4756229, 42.1451006]"
393,"[43.0538668, 44.5137339]"
394,"[42.3996421, 42.0387709]"
395,"[68.6986958, 59.2741435]"
396,"[54.0465802, 50.1911693]"
397,"[41.8275335, 47.0822543]"
398,"[43.9435333, 43.6900789]"
399,"[53.5020585, 57.2330516]"
400,"[58.2882751, 55.9342854]"
401,"[79.6876598, 71.0471157]"
402,"[53.2520032, 53.007728]"
403,"[43.0372927, 41.959889]"
404,"[50.470335, 49.2262709]"
405,"[52.8363373, 49.8009823]"
406,"[44.3398117, 42.3004836]"
407,"[47.1042171, 43.7867948]"
408,"[40.041944, 40.3267777]"
409,"[47.3817648, 42.7427282]"
410,"[43.7595511, 43.3275746]"
411,"[43.4156046, 42.1095418]"
412,"[40.694486, 39.9311143]"
413,"[51.9536216, 49.2798278]"
414,"[40.1529638, 40.6383082]"
415,"[68.7435503, 53.41806]"
416,"[63.7429364, 61.8467826]"
417,"[67.8090205, 57.1303151]"
418,"[45.533033, 45.1766126]"
419,"[40.8845262, 43.5250157]"
420,"[143.408063, 142.111586]"
421,"[76.5006375, 79.0668194]"
422,"[43.1519625, 42.3091789]"
423,"[67.8032588, 73.7138186]"
424,"[68.829349, 61.0689611]"
425,"[67.9097431, 66.1691311]"
426,"[49.7137974, 48.4922095]"
427,"[49.9210573, 45.7502286]"
428,"[51.3482146, 50.6834434]"
429,"[50.0313186, 49.1391242]"
430,"[48.2802375, 41.6925818]"
431,"[45.0905036, 44.0732801]"
432,"[42.3024771, 41.0811474]"
433,"[42.2034063, 41.2645682]"
434,"[40.9552948, 41.546687]"
435,"[50.7884318, 51.2994944]"
436,"[50.5679809, 51.2162444]"
437,"[52.0749272, 51.9559059]"
438,"[50.4043225, 49.504009]"
439,"[45.3427949, 42.2005428]"
440,"[45.7456994, 45.3599889]"
441,"[41.9974017, 41.7298422]"
442,"[41.5497693, 41.7767132]"
443,"[64.5441521, 64.6822984]"
444,"[75.6667253, 72.7511549]"
445,"[50.5370981, 50.6853763]"
446,"[50.7591563, 49.5142641]"
447,"[42.2821406, 41.1450099]"
448,"[56.4009859, 43.0582301]"
449,"[42.3109024, 40.7032519]"
450,"[44.9653013, 40.1585828]"
451,"[54.2975299, 53.257226]"
452,"[90.3093204, 90.3707108]"
453,"[48.7890778, 46.4768417]"
454,"[43.041418, 40.5917983]"
455,"[47.3006546, 46.1061395]"
456,"[68.9081108, 68.6672002]"
457,"[49.72419, 48.7534959]"
458,"[43.1007279, 42.0833197]"
459,"[43.4739048, 43.1145309]"
460,"[60.9093554, 68.3324691]"
461,"[51.2869879, 50.4073172]"
462,"[40.2874706, 40.8092948]"
463,"[41.7334141, 41.7757614]"
464,"[42.0481728, 42.9812157]"
465,"[52.98966, 52.6366311]"
466,"[59.5024726, 63.3971223]"
467,"[46.9882605, 45.3576129]"
468,"[44.7523265, 44.7659435]"
469,"[70.507446, 72.5910855]"
470,"[48.5245864, 47.6731103]"
471,"[42.6891044, 43.9862285]"
472,"[44.5523766, 43.8583432]"
473,"[45.1622818, 42.5279255]"
474,"[40.7425722, 41.8476082]"
475,"[42.6442374, 44.7850243]"
476,"[46.2636738, 44.8065567]"
477,"[55.4793589, 51.0859302]"
478,"[56.9428915, 55.0047448]"
479,"[47.4856282, 46.7831197]"
480,"[88.6884862, 81.462562]"
481,"[56.6043951, 55.6610399]"
482,"[44.2021784, 48.9825509]"
483,"[54.1657136, 52.873042]"
484,"[53.8222464, 49.8330678]"
485,"[49.8361018, 55.4316431]"
486,"[55.0004491, 50.5606398]"
487,"[44.3735217, 47.6728094]"
488,"[44.0832669, 45.269104]"
489,"[46.073768, 45.6556993]"
490,"[44.0762952, 42.82787]"
491,"[43.8130899, 44.2953199]"
492,"[42.3285591, 41.9300384]"
493,"[44.3180322, 42.9825026]"
494,"[53.1066148, 53.940047]"
495,"[56.6406715, 48.6034735]"
496,"[42.8336855, 43.3395779]"
497,"[55.1355922, 54.406861]"
498,"[51.3478922, 50.2935519]"
499,"[41.2118047, 39.7613881]"
